trial_name,trial_id,controller_name,time,step_count,absolute_mechanical_work,active_contact_count,base_acceleration_magnitude,completion_time,forward_progress,grasp_full_wrench_rank,grasp_isotropy,lateral_drift_abs,maximum_friction_ratio,maximum_joint_limit_utilisation,maximum_leg_effort_utilisation,minimum_grasp_singular_value,normal_drift_abs,normalised_load_share_entropy,rung_advancement,slipping_contact_count,successful_regrasp_count,task_success
gait_trial_1,1,gait,0.0680000000,34,249.9614312523,0,32.2167810598,,0.1472911881,False,0.0000000000,0.1168599717,0.0000000000,0.9547512512,1.0000000000,0.0000000000,0.0255361886,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0700000000,35,253.9168798811,0,29.4259127527,,0.1514138263,False,0.0000000000,0.1203645569,0.0000000000,0.9316473644,1.0000000000,0.0000000000,0.0249942073,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0720000000,36,257.7382702519,0,14.3341958969,,0.1555210661,False,0.0000000000,0.1238618281,0.0000000000,0.9040698524,1.0000000000,0.0000000000,0.0245089152,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0740000000,37,261.4772032453,0,13.7221657769,,0.1596140943,False,0.0000000000,0.1273576914,0.0000000000,0.8731303688,1.0000000000,0.0000000000,0.0240788736,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0760000000,38,264.9797661714,0,12.9159094895,,0.1636945625,False,0.0000000000,0.1308563214,0.0000000000,0.8407780972,1.0000000000,0.0000000000,0.0237011082,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0780000000,39,268.2495218866,0,12.2608720189,,0.1677653411,False,0.0000000000,0.1343624091,0.0000000000,0.8082544920,1.0000000000,0.0000000000,0.0233729528,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0800000000,40,271.3385374042,0,11.4614238879,,0.1718293364,False,0.0000000000,0.1378791686,0.0000000000,0.7762383375,1.0000000000,0.0000000000,0.0230907006,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0820000000,41,274.2515292074,0,10.5466945925,,0.1758892006,False,0.0000000000,0.1414086165,0.0000000000,0.7450573936,1.0000000000,0.0000000000,0.0228499753,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0840000000,42,276.9492459146,0,10.6589500374,,0.1799448264,False,0.0000000000,0.1449437361,0.0000000000,0.7149219479,1.0000000000,0.0000000000,0.0226515758,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0860000000,43,279.4364062373,0,11.7060217216,,0.1839962920,False,0.0000000000,0.1484848279,0.0000000000,0.6859351380,1.0000000000,0.0000000000,0.0224986700,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0880000000,44,281.7469387579,0,12.4357446903,,0.1880438787,False,0.0000000000,0.1520322870,0.0000000000,0.6581380740,1.0000000000,0.0000000000,0.0223933042,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0900000000,45,283.8966792252,0,12.9369713693,,0.1920879574,False,0.0000000000,0.1555863497,0.0000000000,0.6315363380,1.0000000000,0.0000000000,0.0223367798,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0920000000,46,285.9014837889,0,13.2536635656,,0.1961289478,False,0.0000000000,0.1591471341,0.0000000000,0.6061253031,1.0000000000,0.0000000000,0.0223298147,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0940000000,47,287.7746258849,0,11.2524598832,,0.2001640991,False,0.0000000000,0.1627105511,0.0000000000,0.5818555069,1.0000000000,0.0000000000,0.0223628900,0.0000000000,0,0,0,False
